mensagem,categoria,prioridade,resposta_base
"Não consigo fazer login na minha conta",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Esqueci minha senha de acesso",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"O sistema não reconhece meu usuário",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Meu login está bloqueado",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Não recebi o email de confirmação de login",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Não consigo acessar minha conta pelo celular",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Erro ao tentar entrar com Google",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Senha não funciona mesmo depois de redefinir",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Conta suspensa sem motivo",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Login fica carregando infinito",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Autenticação de dois fatores não chega",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Não lembro qual email cadastrei",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Aplicativo não conecta na conta",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Erro de autenticação ao logar",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Não consigo trocar minha senha",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Problema para acessar área do cliente",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Minha conta foi hackeada",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Login expira muito rápido",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Token de acesso inválido",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Sessão expira sozinha",login,baixa,"Verifique se o email e senha estão corretos. Tente redefinir a senha se necessário."
"Não consigo criar minha conta",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Erro ao preencher o formulário de cadastro",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Meu CPF não é aceito no cadastro",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
"Quero me cadastrar como pessoa jurídica",cadastro,baixa,"Confira se todos os campos obrigatórios foram preenchidos. Verifique se o email já não está cadastrado."
